Predicted Rent,Predicted Class
9766.689,0
11644.329,0
17468.428,0
9506.671,0
15733.136,0
6291.317,0
12470.446,0
4694.2314,0
19006.637,0
10420.552,0
27071.285,0
6594.543,0
7725.907,0
5025.114,0
25396.85,0
38832.152,0
8885.603,0
8713.378,0
11821.87,0
8234.149,0
7764.497,0
10097.049,0
4561.7817,0
15544.987,0
7346.008,0
6426.951,0
4366.698,0
6138.7896,0
8150.817,0
19475.736,0
6997.0073,0
15603.684,0
9296.228,0
9825.112,0
20225.762,0
12642.9,0
14983.97,0
6650.8057,0
17226.795,0
9323.179,0
6207.295,0
11256.897,0
4867.8965,0
8817.439,0
21897.477,0
16239.237,0
13037.151,0
11515.538,0
29469.447,0
14403.532,0
9352.112,0
9631.196,0
7709.605,0
12101.653,0
10867.769,0
6553.3633,0
5471.4175,0
5784.397,0
8461.53,0
8512.788,0
5906.897,0
30866.791,0
8852.673,0
27309.012,0
7228.347,0
8140.178,0
5593.018,0
7133.0356,0
5716.9727,0
4145.7285,0
4088.4497,0
15905.675,0
15905.675,0
7610.975,0
38486.883,0
18004.568,0
5737.7026,0
4112.1357,0
6844.7476,0
7767.056,0
16968.234,0
7567.0503,0
14665.493,0
20845.412,0
20260.686,0
8853.675,0
6632.8516,0
17896.3,0
6049.65,0
10969.276,0
18556.16,0
11582.056,0
8363.769,0
7631.5024,0
18129.635,0
4953.9097,0
22419.287,0
8879.761,0
30045.633,0
17055.807,0
29446.107,0
38226.465,0
20574.479,0
27594.47,0
5733.439,0
13344.507,0
8807.698,0
7854.6533,0
5453.8247,0
8675.851,0
5891.1577,0
18908.227,0
12875.448,0
16224.16,0
17293.197,0
4979.763,0
13950.29,0
3466.7412,0
11916.005,0
6857.6577,0
14197.5205,0
6857.6577,0
9772.362,0
9966.588,0
7838.1064,0
8084.245,0
8250.499,0
8796.407,0
4274.9614,0
4183.6323,0
8367.278,0
15050.876,0
8509.863,0
12523.353,0
11656.446,0
5097.2583,0
18562.576,0
8376.935,0
14712.916,0
19253.75,0
15371.01,0
8012.4263,0
7476.644,0
12592.065,0
21947.604,0
2391.153,0
12723.659,0
5674.7515,0
18784.943,0
13867.365,0
9515.371,0
4522.887,0
23499.566,0
15008.955,0
17965.021,0
6800.1304,0
20873.473,0
22013.865,0
4708.325,0
8972.731,0
13532.025,0
3712.7065,0
7795.0503,0
28757.725,0
15826.571,0
8125.0654,0
4968.229,0
5669.909,0
39461.645,0
5003.2656,0
13571.558,0
6616.439,0
17776.87,0
9594.861,0
10357.871,0
16438.154,0
3702.1055,0
23288.342,0
16002.257,0
7812.312,0
31336.227,0
11303.269,0
10197.0625,0
17652.072,0
16723.006,0
15868.69,0
17250.805,0
6816.4634,0
6730.437,0
15818.304,0
13763.122,0
8303.188,0
11247.538,0
4718.095,0
15579.292,0
5121.678,0
28994.182,0
10935.261,0
19974.76,0
5673.655,0
7767.3726,0
14798.149,0
8509.863,0
7402.182,0
4971.9863,0
18452.877,0
7384.333,0
5281.595,0
20246.75,0
7303.4473,0
14017.91,0
12748.647,0
13322.787,0
10157.136,0
9429.415,0
26378.14,0
7359.156,0
34535.723,0
7147.627,0
6117.3745,0
5273.178,0
4924.1265,0
19061.31,0
12936.808,0
8331.573,0
14604.3545,0
6067.4995,0
7268.774,0
15091.885,0
20092.213,0
3071.4375,0
16980.139,0
34748.434,0
19153.572,0
5507.9087,0
15148.774,0
3638.6816,0
5586.992,0
10345.502,0
4287.3047,0
11769.083,0
17079.83,0
7276.381,0
7585.796,0
14732.239,0
13448.954,0
9930.583,0
6217.526,0
2920.4258,0
6070.0044,0
11242.503,0
8410.515,0
9809.23,0
29930.396,0
8703.892,0
5273.4453,0
13293.573,0
23971.213,0
20745.129,0
6315.9956,0
39182.684,0
6789.688,0
13782.04,0
11470.431,0
5412.5444,0
32873.395,0
27707.357,0
14248.245,0
10882.472,0
10190.574,0
5268.0435,0
9210.421,0
6080.683,0
12379.399,0
70166.28,0
26893.97,0
4477.2744,0
13233.237,0
5997.2124,0
15794.797,0
6902.902,0
6107.2905,0
16895.963,0
9078.671,0
3051.0273,0
23074.33,0
11662.301,0
6818.782,0
6461.439,0
5000.9575,0
11366.687,0
19162.555,0
13644.394,0
5420.134,0
10096.225,0
10578.765,0
14750.657,0
8591.268,0
5558.788,0
27905.203,0
24333.002,0
28390.955,0
21045.355,0
11380.517,0
7369.022,0
12656.085,0
18041.377,0
8463.657,0
25108.826,0
6968.528,0
7389.106,0
7733.946,0
10205.929,0
15406.249,0
8263.427,0
24547.682,0
8089.757,0
4937.992,0
8675.199,0
4779.71,0
4948.1255,0
24074.682,0
3903.6924,0
8143.2676,0
27883.783,0
19141.328,0
8891.383,0
7207.1304,0
8787.722,0
2866.4937,0
10174.075,0
6431.208,0
19403.197,0
35776.73,0
7888.8906,0
17666.184,0
6002.275,0
14764.765,0
6181.543,0
7372.606,0
8049.7354,0
12127.575,0
8696.806,0
8302.063,0
7351.1494,0
9944.91,0
25562.453,0
9145.059,0
24927.766,0
6316.889,0
4959.771,0
10479.5205,0
6648.0874,0
6699.3306,0
18356.332,0
5084.719,0
24234.148,0
7451.3384,0
14971.274,0
10143.284,0
4532.505,0
7077.35,0
8734.952,0
5343.753,0
8786.176,0
10130.002,0
16497.877,0
17644.666,0
4706.666,0
12565.69,0
7013.491,0
15125.106,0
28994.416,0
15014.599,0
7072.1255,0
9550.643,0
6998.7925,0
4974.7964,0
8023.595,0
45015.555,0
45036.836,0
11535.965,0
5766.696,0
10115.485,0
12778.041,0
5439.428,0
5880.5493,0
11993.349,0
13830.577,0
9647.28,0
22294.254,0
13354.086,0
31418.197,0
10356.96,0
8861.029,0
5843.0503,0
24177.258,0
3911.4043,0
7912.905,0
12655.919,0
19270.58,0
15435.549,0
7018.3354,0
6675.099,0
7642.148,0
28277.008,0
5423.1284,0
35146.504,0
13168.487,0
8634.89,0
18720.932,0
6135.1655,0
23949.88,0
7402.2876,0
6825.4253,0
6509.8145,0
7511.811,0
12439.854,0
4537.947,0
6354.311,0
7178.264,0
11372.223,0
10268.306,0
8602.415,0
8252.72,0
5331.8184,0
11426.096,0
5540.2046,0
5540.2046,0
22177.092,0
5219.343,0
20275.006,0
10161.941,0
16748.256,0
22878.488,0
8612.862,0
15994.99,0
5503.637,0
6228.016,0
11799.298,0
7936.4976,0
5234.5894,0
10892.806,0
10086.099,0
8249.25,0
13119.673,0
9192.423,0
11511.878,0
5306.2007,0
4137.438,0
22594.014,0
5912.8223,0
15719.892,0
6972.2456,0
8651.36,0
7090.6235,0
9125.384,0
13532.993,0
14532.136,0
34354.957,0
12502.242,0
18865.193,0
14959.199,0
8126.107,0
7068.2876,0
18066.809,0
8304.263,0
7776.0884,0
7661.841,0
4985.0073,0
1775.6113,0
11137.112,0
10197.581,0
13599.978,0
7952.9487,0
5914.1587,0
14188.622,0
22810.076,0
21463.396,0
10051.294,0
6879.229,0
9398.724,0
9865.105,0
4845.7554,0
9981.548,0
7029.7695,0
29073.867,0
15121.867,0
12791.313,0
7416.934,0
9496.985,0
13015.544,0
20669.701,0
5668.3354,0
19254.951,0
7559.996,0
9051.612,0
17937.121,0
10193.612,0
6111.0854,0
12114.836,0
32957.457,0
12003.052,0
32412.219,0
23804.545,0
4325.906,0
5223.397,0
5169.0073,0
39746.137,0
6315.9673,0
6573.9766,0
6846.3735,0
22926.627,0
8681.553,0
22846.678,0
42782.41,0
7509.986,0
37312.67,0
6549.0576,0
11249.177,0
23801.477,0
18806.68,0
26824.318,0
24890.65,1
20118.207,1
12390.278,0
56454.29,0
28468.484,0
32673.059,1
34420.426,1
29882.379,1
49473.055,1
27079.012,1
32909.95,1
28872.166,1
22061.588,1
24266.842,0
56145.355,1
25093.234,1
21270.938,1
18000.432,1
24330.502,1
12667.38,0
28438.092,1
18572.637,1
32282.914,1
19320.262,1
42871.395,1
18979.49,0
29279.889,1
50400.793,1
39066.355,1
44026.676,1
30869.77,1
17053.064,1
49469.43,1
50199.48,1
48135.082,1
26888.025,1
23768.162,1
52091.16,1
18673.062,1
28912.49,0
23024.984,0
24780.818,1
12402.597,0
24345.555,1
49123.5,1
29215.652,1
43370.48,1
42224.562,1
27766.541,1
42852.03,1
29004.74,1
54543.074,1
59278.027,1
39978.49,1
19034.518,1
37855.527,1
61886.582,1
29128.256,1
47790.215,1
29340.334,1
61778.598,1
46604.973,1
36430.06,1
26101.822,1
23138.986,0
37395.066,1
53626.258,1
37627.02,1
46515.547,1
64132.285,1
29819.4,1
35501.4,0
28142.443,1
30941.068,1
16056.656,1
32280.115,1
70998.95,1
31753.816,1
18029.326,1
17896.44,0
42860.504,1
12833.614,0
37453.613,1
18871.309,0
33279.21,1
31648.385,1
43421.375,1
36166.715,1
14024.178,0
52820.496,1
25595.148,1
55608.074,1
24433.42,0
32299.47,1
66515.09,1
44311.496,1
66760.2,1
25183.557,1
38334.496,1
21892.38,0
22784.176,1
53237.324,1
20805.262,1
31671.49,1
16815.408,0
46210.965,1
27045.203,1
44799.715,1
49173.234,1
19075.062,0
17113.803,0
48223.902,1
28465.154,1
23857.502,1
15049.423,1
36498.49,1
45778.457,1
26892.475,1
57776.91,1
32903.367,1
14787.939,0
59847.965,1
35638.62,1
30693.826,0
15030.802,0
34073.246,1
34551.38,1
30563.416,1
15499.677,1
31991.932,1
8581.126,0
55955.605,1
24322.818,0
22182.627,0
64404.34,1
43634.582,1
20666.281,1
42998.168,1
27735.062,1
54831.613,1
38150.24,1
22264.44,1
54147.152,1
61964.234,1
32322.258,1
29498.014,0
24041.057,0
29295.664,0
35471.81,1
9332.585,0
50694.168,1
26538.213,1
32310.1,1
27235.514,0
31279.182,1
13516.885,0
42175.004,1
38658.34,1
34510.54,1
17318.486,0
27647.088,1
21813.63,1
34246.707,1
49660.426,1
34427.94,1
24093.74,1
58166.12,1
47737.652,1
17229.691,0
55617.605,1
31489.178,1
17177.014,0
17919.018,0
17809.322,1
